grid,constructor,year,round,driverRef,q
1,McLaren,2008,1,hamilton,1:26.714
2,BMW Sauber,2008,1,kubica,1:26.869
3,McLaren,2008,1,kovalainen,1:27.079
4,Ferrari,2008,1,massa,1:27.178
5,BMW Sauber,2008,1,heidfeld,1:27.236
6,Toyota,2008,1,trulli,1:28.527
7,Williams,2008,1,rosberg,1:28.687
8,Red Bull,2008,1,coulthard,1:29.041
9,Toyota,2008,1,glock,1:29.593
10,Toro Rosso,2008,1,vettel,1:25.842
11,Honda,2008,1,barrichello,1:26.173
12,Renault,2008,1,alonso,1:26.188
13,Honda,2008,1,button,1:26.259
14,Williams,2008,1,nakajima,1:26.413
15,Red Bull,2008,1,webber,1:26.914
16,Ferrari,2008,1,raikkonen,1:26.140
17,Force India,2008,1,fisichella,1:27.207
18,Toro Rosso,2008,1,bourdais,1:27.446
19,Force India,2008,1,sutil,1:27.859
20,Super Aguri,2008,1,sato,1:28.208
21,Renault,2008,1,piquet_jr,1:28.330
22,Super Aguri,2008,1,davidson,1:29.059
1,Ferrari,2008,2,massa,1:35.748
2,Ferrari,2008,2,raikkonen,1:36.230
3,McLaren,2008,2,kovalainen,1:36.613
4,McLaren,2008,2,hamilton,1:36.709
5,Toyota,2008,2,trulli,1:36.711
6,BMW Sauber,2008,2,kubica,1:36.727
7,BMW Sauber,2008,2,heidfeld,1:36.753
8,Red Bull,2008,2,webber,1:37.009
9,Renault,2008,2,alonso,1:38.450
10,Toyota,2008,2,glock,1:39.656
11,Honda,2008,2,button,1:35.208
12,Red Bull,2008,2,coulthard,1:35.408
13,Renault,2008,2,piquet_jr,1:35.562
14,Honda,2008,2,barrichello,1:35.622
15,Toro Rosso,2008,2,vettel,1:35.648
16,Williams,2008,2,rosberg,1:35.670
17,Force India,2008,2,fisichella,1:36.240
18,Williams,2008,2,nakajima,1:36.388
19,Toro Rosso,2008,2,bourdais,1:36.677
20,Super Aguri,2008,2,sato,1:37.087
21,Force India,2008,2,sutil,1:37.101
22,Super Aguri,2008,2,davidson,1:37.481
1,BMW Sauber,2008,3,kubica,1:33.096
2,Ferrari,2008,3,massa,1:33.123
3,McLaren,2008,3,hamilton,1:33.292
4,Ferrari,2008,3,raikkonen,1:33.418
5,McLaren,2008,3,kovalainen,1:33.488
6,BMW Sauber,2008,3,heidfeld,1:33.737
7,Toyota,2008,3,trulli,1:33.994
8,Williams,2008,3,rosberg,1:34.015
9,Honda,2008,3,button,1:35.057
10,Renault,2008,3,alonso,1:35.115
11,Red Bull,2008,3,webber,1:32.371
12,Honda,2008,3,barrichello,1:32.508
13,Toyota,2008,3,glock,1:32.528
14,Renault,2008,3,piquet_jr,1:32.790
15,Toro Rosso,2008,3,bourdais,1:32.915
16,Williams,2008,3,nakajima,1:32.943
17,Red Bull,2008,3,coulthard,1:33.433
18,Force India,2008,3,fisichella,1:33.501
19,Toro Rosso,2008,3,vettel,1:33.562
20,Force India,2008,3,sutil,1:33.845
21,Super Aguri,2008,3,davidson,1:34.140
22,Super Aguri,2008,3,sato,1:35.725
1,Ferrari,2008,4,raikkonen,1:21.813
2,Renault,2008,4,alonso,1:21.904
3,Ferrari,2008,4,massa,1:22.058
4,BMW Sauber,2008,4,kubica,1:22.065
5,McLaren,2008,4,hamilton,1:22.096
6,McLaren,2008,4,kovalainen,1:22.231
7,Red Bull,2008,4,webber,1:22.429
8,Toyota,2008,4,trulli,1:22.529
9,BMW Sauber,2008,4,heidfeld,1:22.542
10,Renault,2008,4,piquet_jr,1:22.699
11,Honda,2008,4,barrichello,1:21.049
12,Williams,2008,4,nakajima,1:21.117
13,Honda,2008,4,button,1:21.211
14,Toyota,2008,4,glock,1:21.230
15,Williams,2008,4,rosberg,1:21.349
16,Toro Rosso,2008,4,bourdais,1:21.724
17,Red Bull,2008,4,coulthard,1:21.810
18,Toro Rosso,2008,4,vettel,1:22.108
19,Force India,2008,4,fisichella,1:22.516
20,Force India,2008,4,sutil,1:23.224
21,Super Aguri,2008,4,davidson,1:23.318
22,Super Aguri,2008,4,sato,1:23.496
1,Ferrari,2008,5,massa,1:27.617
2,McLaren,2008,5,kovalainen,1:27.808
3,McLaren,2008,5,hamilton,1:27.923
4,Ferrari,2008,5,raikkonen,1:27.936
5,BMW Sauber,2008,5,kubica,1:28.390
6,Red Bull,2008,5,webber,1:28.417
7,Renault,2008,5,alonso,1:28.422
8,Toyota,2008,5,trulli,1:28.836
9,BMW Sauber,2008,5,heidfeld,1:28.882
10,Red Bull,2008,5,coulthard,1:29.959
11,Williams,2008,5,rosberg,1:27.012
12,Honda,2008,5,barrichello,1:27.219
13,Honda,2008,5,button,1:27.298
14,Toro Rosso,2008,5,vettel,1:27.412
15,Toyota,2008,5,glock,1:27.806
16,Williams,2008,5,nakajima,1:27.547
17,Renault,2008,5,piquet_jr,1:27.568
18,Toro Rosso,2008,5,bourdais,1:27.621
19,Force India,2008,5,fisichella,1:27.807
20,Force India,2008,5,sutil,1:28.325
1,Ferrari,2008,6,massa,1:15.787
2,Ferrari,2008,6,raikkonen,1:15.815
3,McLaren,2008,6,hamilton,1:15.839
4,McLaren,2008,6,kovalainen,1:16.165
5,BMW Sauber,2008,6,kubica,1:16.171
6,Williams,2008,6,rosberg,1:16.548
7,Renault,2008,6,alonso,1:16.852
8,Toyota,2008,6,trulli,1:17.203
9,Red Bull,2008,6,webber,1:17.343
10,Red Bull,2008,6,coulthard,1:15.839
11,Toyota,2008,6,glock,1:15.907
12,Honda,2008,6,button,1:16.101
13,BMW Sauber,2008,6,heidfeld,1:16.455
14,Williams,2008,6,nakajima,1:16.479
15,Honda,2008,6,barrichello,1:16.537
16,Toro Rosso,2008,6,bourdais,1:16.806
17,Renault,2008,6,piquet_jr,1:16.933
18,Toro Rosso,2008,6,vettel,1:16.955
19,Force India,2008,6,sutil,1:17.225
20,Force India,2008,6,fisichella,1:17.823
1,McLaren,2008,7,hamilton,1:17.886
2,BMW Sauber,2008,7,kubica,1:18.498
3,Ferrari,2008,7,raikkonen,1:18.735
4,Renault,2008,7,alonso,1:18.746
5,Williams,2008,7,rosberg,1:18.844
6,Ferrari,2008,7,massa,1:19.048
7,McLaren,2008,7,kovalainen,1:19.089
8,BMW Sauber,2008,7,heidfeld,1:19.633
9,Honda,2008,7,barrichello,1:20.848
10,Red Bull,2008,7,webber,1:17.523
11,Toyota,2008,7,glock,1:18.031
12,Williams,2008,7,nakajima,1:18.062
13,Red Bull,2008,7,coulthard,1:18.238
14,Toyota,2008,7,trulli,1:18.327
15,Renault,2008,7,piquet_jr,1:18.393
16,Toro Rosso,2008,7,bourdais,1:18.916
17,Force India,2008,7,sutil,1:19.108
18,Force India,2008,7,fisichella,1:19.165
19,Honda,2008,7,button,1:23.565
1,Ferrari,2008,8,raikkonen,1:16.449
2,Ferrari,2008,8,massa,1:16.490
3,McLaren,2008,8,hamilton,1:16.693
4,Renault,2008,8,alonso,1:16.840
5,Toyota,2008,8,trulli,1:16.920
6,McLaren,2008,8,kovalainen,1:16.944
7,BMW Sauber,2008,8,kubica,1:17.037
8,Red Bull,2008,8,webber,1:17.233
9,Red Bull,2008,8,coulthard,1:17.426
10,Toyota,2008,8,glock,1:17.596
11,Renault,2008,8,piquet_jr,1:15.770
12,BMW Sauber,2008,8,heidfeld,1:15.786
13,Toro Rosso,2008,8,vettel,1:15.816
14,Toro Rosso,2008,8,bourdais,1:16.045
15,Williams,2008,8,rosberg,1:16.235
16,Williams,2008,8,nakajima,1:16.243
17,Honda,2008,8,button,1:16.306
18,Honda,2008,8,barrichello,1:16.330
19,Force India,2008,8,fisichella,1:16.971
20,Force India,2008,8,sutil,1:17.053
1,McLaren,2008,9,kovalainen,1:21.049
2,Red Bull,2008,9,webber,1:21.554
3,Ferrari,2008,9,raikkonen,1:21.706
4,McLaren,2008,9,hamilton,1:21.835
5,BMW Sauber,2008,9,heidfeld,1:21.873
6,Renault,2008,9,alonso,1:22.029
7,Renault,2008,9,piquet_jr,1:22.491
8,Toro Rosso,2008,9,vettel,1:23.251
9,Ferrari,2008,9,massa,1:23.305
10,BMW Sauber,2008,9,kubica,1:19.788
11,Red Bull,2008,9,coulthard,1:20.174
12,Toyota,2008,9,glock,1:20.274
13,Toro Rosso,2008,9,bourdais,1:20.531
14,Toyota,2008,9,trulli,1:20.601
15,Williams,2008,9,nakajima,1:21.112
16,Honda,2008,9,barrichello,1:21.512
17,Honda,2008,9,button,1:21.631
18,Williams,2008,9,rosberg,1:21.668
19,Force India,2008,9,sutil,1:21.786
20,Force India,2008,9,fisichella,1:21.885
1,McLaren,2008,10,hamilton,1:15.666
2,Ferrari,2008,10,massa,1:15.859
3,McLaren,2008,10,kovalainen,1:16.143
4,Toyota,2008,10,trulli,1:16.191
5,Renault,2008,10,alonso,1:16.385
6,Ferrari,2008,10,raikkonen,1:16.389
7,BMW Sauber,2008,10,kubica,1:16.521
8,Red Bull,2008,10,webber,1:17.014
9,Toro Rosso,2008,10,vettel,1:17.244
10,Red Bull,2008,10,coulthard,1:17.503
11,Toyota,2008,10,glock,1:15.508
12,BMW Sauber,2008,10,heidfeld,1:15.581
13,Williams,2008,10,rosberg,1:15.633
14,Honda,2008,10,button,1:15.701
15,Toro Rosso,2008,10,bourdais,1:15.858
16,Williams,2008,10,nakajima,1:16.083
17,Renault,2008,10,piquet_jr,1:16.189
18,Honda,2008,10,barrichello,1:16.246
19,Force India,2008,10,sutil,1:16.657
20,Force India,2008,10,fisichella,1:16.963
1,McLaren,2008,11,hamilton,1:20.899
2,McLaren,2008,11,kovalainen,1:21.140
3,Ferrari,2008,11,massa,1:21.191
4,BMW Sauber,2008,11,kubica,1:21.281
5,Toyota,2008,11,glock,1:21.326
6,Ferrari,2008,11,raikkonen,1:21.516
7,Renault,2008,11,alonso,1:21.698
8,Red Bull,2008,11,webber,1:21.732
9,Toyota,2008,11,trulli,1:21.767
10,Renault,2008,11,piquet_jr,1:22.371
11,Toro Rosso,2008,11,vettel,1:20.144
12,Honda,2008,11,button,1:20.332
13,Red Bull,2008,11,coulthard,1:20.502
14,Toro Rosso,2008,11,bourdais,1:20.963
15,Williams,2008,11,rosberg,1:20.748
16,BMW Sauber,2008,11,heidfeld,1:21.045
17,Williams,2008,11,nakajima,1:21.085
18,Honda,2008,11,barrichello,1:21.332
19,Force India,2008,11,fisichella,1:21.670
20,Force India,2008,11,sutil,1:22.113
1,Ferrari,2008,12,massa,1:38.989
2,McLaren,2008,12,hamilton,1:39.199
3,BMW Sauber,2008,12,kubica,1:39.392
4,Ferrari,2008,12,raikkonen,1:39.488
5,McLaren,2008,12,kovalainen,1:39.937
6,Toro Rosso,2008,12,vettel,1:40.142
7,Toyota,2008,12,trulli,1:40.309
8,BMW Sauber,2008,12,heidfeld,1:40.631
9,Williams,2008,12,rosberg,1:40.721
10,Toro Rosso,2008,12,bourdais,1:40.750
11,Williams,2008,12,nakajima,1:38.428
12,Renault,2008,12,alonso,1:38.435
13,Toyota,2008,12,glock,1:38.499
14,Red Bull,2008,12,webber,1:38.515
15,Renault,2008,12,piquet_jr,1:38.744
16,Honda,2008,12,button,1:38.880
17,Red Bull,2008,12,coulthard,1:39.235
18,Force India,2008,12,fisichella,1:39.268
19,Honda,2008,12,barrichello,1:39.811
20,Force India,2008,12,sutil,1:39.943
1,McLaren,2008,13,hamilton,1:47.338
2,Ferrari,2008,13,massa,1:47.678
3,McLaren,2008,13,kovalainen,1:47.815
4,Ferrari,2008,13,raikkonen,1:47.992
5,BMW Sauber,2008,13,heidfeld,1:48.315
6,Renault,2008,13,alonso,1:48.504
7,Red Bull,2008,13,webber,1:48.736
8,BMW Sauber,2008,13,kubica,1:48.763
9,Toro Rosso,2008,13,bourdais,1:48.951
10,Toro Rosso,2008,13,vettel,1:50.319
11,Toyota,2008,13,trulli,1:46.949
12,Renault,2008,13,piquet_jr,1:46.965
13,Toyota,2008,13,glock,1:46.995
14,Red Bull,2008,13,coulthard,1:47.018
15,Williams,2008,13,rosberg,1:47.429
16,Honda,2008,13,barrichello,1:48.153
17,Honda,2008,13,button,1:48.211
18,Force India,2008,13,sutil,1:48.226
19,Williams,2008,13,nakajima,1:48.268
20,Force India,2008,13,fisichella,1:48.447
1,Toro Rosso,2008,14,vettel,1:37.555
2,McLaren,2008,14,kovalainen,1:37.631
3,Red Bull,2008,14,webber,1:38.117
4,Toro Rosso,2008,14,bourdais,1:38.445
5,Williams,2008,14,rosberg,1:38.767
6,Ferrari,2008,14,massa,1:38.894
7,Toyota,2008,14,trulli,1:39.152
8,Renault,2008,14,alonso,1:39.751
9,Toyota,2008,14,glock,1:39.787
10,BMW Sauber,2008,14,heidfeld,1:39.906
11,BMW Sauber,2008,14,kubica,1:36.697
12,Force India,2008,14,fisichella,1:36.698
13,Red Bull,2008,14,coulthard,1:37.284
14,Ferrari,2008,14,raikkonen,1:37.522
15,McLaren,2008,14,hamilton,1:39.265
16,Honda,2008,14,barrichello,1:36.510
17,Renault,2008,14,piquet_jr,1:36.630
18,Williams,2008,14,nakajima,1:36.653
19,Honda,2008,14,button,1:37.006
20,Force India,2008,14,sutil,1:37.417
1,Ferrari,2008,15,massa,1:44.801
2,McLaren,2008,15,hamilton,1:45.465
3,Ferrari,2008,15,raikkonen,1:45.617
4,BMW Sauber,2008,15,kubica,1:45.779
5,McLaren,2008,15,kovalainen,1:45.873
6,BMW Sauber,2008,15,heidfeld,1:45.964
7,Toro Rosso,2008,15,vettel,1:46.244
8,Toyota,2008,15,glock,1:46.328
9,Williams,2008,15,rosberg,1:46.611
10,Williams,2008,15,nakajima,1:47.547
11,Toyota,2008,15,trulli,1:45.038
12,Honda,2008,15,button,1:45.133
13,Red Bull,2008,15,webber,1:45.212
14,Red Bull,2008,15,coulthard,1:45.298
15,Renault,2008,15,alonso,1:44.971
16,Renault,2008,15,piquet_jr,1:46.037
17,Toro Rosso,2008,15,bourdais,1:46.389
18,Honda,2008,15,barrichello,1:46.583
19,Force India,2008,15,sutil,1:47.940
1,McLaren,2008,16,hamilton,1:18.404
2,Ferrari,2008,16,raikkonen,1:18.644
3,McLaren,2008,16,kovalainen,1:18.821
4,Renault,2008,16,alonso,1:18.852
5,Ferrari,2008,16,massa,1:18.874
6,BMW Sauber,2008,16,kubica,1:18.979
7,Toyota,2008,16,trulli,1:19.026
8,Toyota,2008,16,glock,1:19.118
9,Toro Rosso,2008,16,vettel,1:19.638
10,Toro Rosso,2008,16,bourdais,1:20.167
11,Red Bull,2008,16,coulthard,1:18.187
12,Renault,2008,16,piquet_jr,1:18.274
13,Red Bull,2008,16,webber,1:18.354
14,Williams,2008,16,nakajima,1:18.594
15,Williams,2008,16,rosberg,1:18.672
16,BMW Sauber,2008,16,heidfeld,1:18.835
17,Honda,2008,16,barrichello,1:18.882
18,Honda,2008,16,button,1:19.100
19,Force India,2008,16,sutil,1:19.163
20,Force India,2008,16,fisichella,1:19.910
1,McLaren,2008,17,hamilton,1:36.303
2,Ferrari,2008,17,raikkonen,1:36.645
3,Ferrari,2008,17,massa,1:36.889
4,Renault,2008,17,alonso,1:36.927
5,McLaren,2008,17,kovalainen,1:36.930
6,Red Bull,2008,17,webber,1:37.083
7,BMW Sauber,2008,17,heidfeld,1:37.201
8,Toro Rosso,2008,17,vettel,1:37.685
9,Toyota,2008,17,trulli,1:37.934
10,Toro Rosso,2008,17,bourdais,1:38.885
11,Renault,2008,17,piquet_jr,1:35.722
12,BMW Sauber,2008,17,kubica,1:35.814
13,Toyota,2008,17,glock,1:35.937
14,Honda,2008,17,barrichello,1:36.079
15,Williams,2008,17,rosberg,1:36.210
16,Red Bull,2008,17,coulthard,1:36.731
17,Williams,2008,17,nakajima,1:36.863
18,Honda,2008,17,button,1:37.053
19,Force India,2008,17,sutil,1:37.730
20,Force India,2008,17,fisichella,1:37.739
1,Ferrari,2008,18,massa,1:12.368
2,Toyota,2008,18,trulli,1:12.737
3,Ferrari,2008,18,raikkonen,1:12.825
4,McLaren,2008,18,hamilton,1:12.830
5,McLaren,2008,18,kovalainen,1:12.917
6,Renault,2008,18,alonso,1:12.967
7,Toro Rosso,2008,18,vettel,1:13.082
8,BMW Sauber,2008,18,heidfeld,1:13.297
9,Toro Rosso,2008,18,bourdais,1:14.105
10,Toyota,2008,18,glock,1:14.230
11,Renault,2008,18,piquet_jr,1:12.137
12,Red Bull,2008,18,webber,1:12.289
13,BMW Sauber,2008,18,kubica,1:12.300
14,Red Bull,2008,18,coulthard,1:12.717
15,Honda,2008,18,barrichello,1:13.139
16,Williams,2008,18,nakajima,1:12.800
17,Honda,2008,18,button,1:12.810
18,Williams,2008,18,rosberg,1:13.002
19,Force India,2008,18,fisichella,1:13.426
20,Force India,2008,18,sutil,1:13.508
1,Ferrari,2007,1,raikkonen,1:26.072
2,McLaren,2007,1,alonso,1:26.493
3,BMW Sauber,2007,1,heidfeld,1:26.556
4,McLaren,2007,1,hamilton,1:26.755
5,BMW Sauber,2007,1,kubica,1:27.347
6,Renault,2007,1,fisichella,1:27.634
7,Red Bull,2007,1,webber,1:27.934
8,Toyota,2007,1,trulli,1:28.404
9,Toyota,2007,1,ralf_schumacher,1:28.692
10,Super Aguri,2007,1,sato,1:28.871
11,Super Aguri,2007,1,davidson,1:26.909
12,Williams,2007,1,rosberg,1:26.914
13,Renault,2007,1,kovalainen,1:26.964
14,Honda,2007,1,button,1:27.264
15,Williams,2007,1,wurz,1:27.393
16,Ferrari,2007,1,massa,1:26.712
17,Honda,2007,1,barrichello,1:27.679
18,Toro Rosso,2007,1,speed,1:28.305
19,Red Bull,2007,1,coulthard,1:28.579
20,Toro Rosso,2007,1,liuzzi,1:29.267
21,Spyker,2007,1,sutil,1:29.339
22,Spyker,2007,1,albers,1:31.932
1,Ferrari,2007,2,massa,1:35.043
2,McLaren,2007,2,alonso,1:35.310
3,Ferrari,2007,2,raikkonen,1:35.479
4,McLaren,2007,2,hamilton,1:36.045
5,BMW Sauber,2007,2,heidfeld,1:36.543
6,Williams,2007,2,rosberg,1:36.829
7,BMW Sauber,2007,2,kubica,1:36.839
8,Toyota,2007,2,trulli,1:36.902
9,Toyota,2007,2,ralf_schumacher,1:37.078
10,Red Bull,2007,2,webber,1:37.345
11,Renault,2007,2,kovalainen,1:35.630
12,Renault,2007,2,fisichella,1:35.706
13,Red Bull,2007,2,coulthard,1:35.766
14,Super Aguri,2007,2,sato,1:35.945
15,Honda,2007,2,button,1:36.088
16,Toro Rosso,2007,2,liuzzi,1:36.145
17,Toro Rosso,2007,2,speed,1:36.578
18,Super Aguri,2007,2,davidson,1:36.816
19,Honda,2007,2,barrichello,1:36.827
20,Williams,2007,2,wurz,1:37.326
21,Spyker,2007,2,albers,1:38.279
22,Spyker,2007,2,sutil,1:38.415
1,Ferrari,2007,3,massa,1:32.652
2,McLaren,2007,3,hamilton,1:32.935
3,Ferrari,2007,3,raikkonen,1:33.131
4,McLaren,2007,3,alonso,1:33.192
5,BMW Sauber,2007,3,heidfeld,1:33.404
6,BMW Sauber,2007,3,kubica,1:33.710
7,Renault,2007,3,fisichella,1:34.056
8,Red Bull,2007,3,webber,1:34.106
9,Toyota,2007,3,trulli,1:34.154
10,Williams,2007,3,rosberg,1:34.399
11,Williams,2007,3,wurz,1:32.915
12,Renault,2007,3,kovalainen,1:32.935
13,Super Aguri,2007,3,davidson,1:33.082
14,Toyota,2007,3,ralf_schumacher,1:33.294
15,Honda,2007,3,barrichello,1:33.624
16,Honda,2007,3,button,1:33.731
17,Super Aguri,2007,3,sato,1:33.984
18,Toro Rosso,2007,3,liuzzi,1:34.024
19,Toro Rosso,2007,3,speed,1:34.333
20,Spyker,2007,3,sutil,1:35.280
21,Red Bull,2007,3,coulthard,1:35.341
22,Spyker,2007,3,albers,1:35.533
1,Ferrari,2007,4,massa,1:21.421
2,McLaren,2007,4,alonso,1:21.451
3,Ferrari,2007,4,raikkonen,1:21.723
4,McLaren,2007,4,hamilton,1:21.785
5,BMW Sauber,2007,4,kubica,1:22.253
6,Toyota,2007,4,trulli,1:22.324
7,BMW Sauber,2007,4,heidfeld,1:22.389
8,Renault,2007,4,kovalainen,1:22.568
9,Red Bull,2007,4,coulthard,1:22.749
10,Renault,2007,4,fisichella,1:22.881
11,Williams,2007,4,rosberg,1:21.968
12,Honda,2007,4,barrichello,1:22.097
13,Super Aguri,2007,4,sato,1:22.115
14,Honda,2007,4,button,1:22.120
15,Super Aguri,2007,4,davidson,1:22.295
16,Toro Rosso,2007,4,liuzzi,1:22.508
17,Toyota,2007,4,ralf_schumacher,1:22.666
18,Williams,2007,4,wurz,1:22.769
19,Red Bull,2007,4,webber,1:23.398
20,Spyker,2007,4,sutil,1:23.811
21,Spyker,2007,4,albers,1:23.990
1,McLaren,2007,5,alonso,1:15.726
2,McLaren,2007,5,hamilton,1:15.905
3,Ferrari,2007,5,massa,1:15.967
4,Renault,2007,5,fisichella,1:16.285
5,Williams,2007,5,rosberg,1:16.439
6,Red Bull,2007,5,webber,1:16.784
7,BMW Sauber,2007,5,heidfeld,1:16.832
8,BMW Sauber,2007,5,kubica,1:16.955
9,Honda,2007,5,barrichello,1:17.498
10,Honda,2007,5,button,1:17.939
11,Williams,2007,5,wurz,1:16.662
12,Toro Rosso,2007,5,liuzzi,1:16.703
13,Red Bull,2007,5,coulthard,1:16.319
14,Toyota,2007,5,trulli,1:16.988
15,Renault,2007,5,kovalainen,1:17.125
16,Ferrari,2007,5,raikkonen,1:16.251
17,Super Aguri,2007,5,davidson,1:18.250
18,Toro Rosso,2007,5,speed,1:18.390
19,Spyker,2007,5,sutil,1:18.418
20,Toyota,2007,5,ralf_schumacher,1:18.539
21,Super Aguri,2007,5,sato,1:18.554
1,McLaren,2007,6,hamilton,1:15.707
2,McLaren,2007,6,alonso,1:16.163
3,BMW Sauber,2007,6,heidfeld,1:16.266
4,Ferrari,2007,6,raikkonen,1:16.411
5,Ferrari,2007,6,massa,1:16.570
6,Red Bull,2007,6,webber,1:16.913
7,Williams,2007,6,rosberg,1:16.919
8,BMW Sauber,2007,6,kubica,1:16.993
9,Renault,2007,6,fisichella,1:17.229
10,Toyota,2007,6,trulli,1:17.747
11,Super Aguri,2007,6,sato,1:16.743
12,Toro Rosso,2007,6,liuzzi,1:16.760
13,Honda,2007,6,barrichello,1:17.116
14,Red Bull,2007,6,coulthard,1:17.304
15,Honda,2007,6,button,1:17.541
16,Toro Rosso,2007,6,speed,1:17.571
17,Super Aguri,2007,6,davidson,1:17.542
18,Toyota,2007,6,ralf_schumacher,1:17.634
19,Williams,2007,6,wurz,1:18.089
20,Spyker,2007,6,sutil,1:18.536
21,Spyker,2007,6,albers,1:19.196
22,Renault,2007,6,kovalainen,1:17.806
1,McLaren,2007,7,hamilton,1:12.331
2,McLaren,2007,7,alonso,1:12.500
3,Ferrari,2007,7,massa,1:12.703
4,Ferrari,2007,7,raikkonen,1:12.839
5,BMW Sauber,2007,7,heidfeld,1:12.847
6,Renault,2007,7,kovalainen,1:13.308
7,BMW Sauber,2007,7,vettel,1:13.513
8,Toyota,2007,7,trulli,1:13.789
9,Red Bull,2007,7,webber,1:13.871
10,Renault,2007,7,fisichella,1:13.953
11,Red Bull,2007,7,coulthard,1:12.873
12,Toyota,2007,7,ralf_schumacher,1:12.920
13,Honda,2007,7,button,1:12.998
14,Williams,2007,7,rosberg,1:13.060
15,Honda,2007,7,barrichello,1:13.201
16,Super Aguri,2007,7,davidson,1:13.259
17,Williams,2007,7,wurz,1:13.441
18,Super Aguri,2007,7,sato,1:13.477
19,Toro Rosso,2007,7,liuzzi,1:13.484
20,Toro Rosso,2007,7,speed,1:13.712
21,Spyker,2007,7,sutil,1:14.122
22,Spyker,2007,7,albers,1:14.597
1,Ferrari,2007,8,massa,1:15.034
2,McLaren,2007,8,hamilton,1:15.104
3,Ferrari,2007,8,raikkonen,1:15.257
4,BMW Sauber,2007,8,kubica,1:15.493
5,Renault,2007,8,fisichella,1:15.674
6,Renault,2007,8,kovalainen,1:15.826
7,BMW Sauber,2007,8,heidfeld,1:15.900
8,Toyota,2007,8,trulli,1:15.935
9,Williams,2007,8,rosberg,1:16.328
10,McLaren,2007,8,alonso,1:15.084
11,Toyota,2007,8,ralf_schumacher,1:15.534
12,Honda,2007,8,button,1:15.584
13,Honda,2007,8,barrichello,1:15.761
14,Red Bull,2007,8,webber,1:15.806
15,Toro Rosso,2007,8,speed,1:16.049
16,Red Bull,2007,8,coulthard,1:15.915
17,Toro Rosso,2007,8,liuzzi,1:16.142
18,Williams,2007,8,wurz,1:16.241
19,Super Aguri,2007,8,davidson,1:16.366
20,Spyker,2007,8,albers,1:17.826
21,Spyker,2007,8,sutil,1:17.915
22,Super Aguri,2007,8,sato,1:16.244
1,McLaren,2007,9,hamilton,1:19.997
2,Ferrari,2007,9,raikkonen,1:20.099
3,McLaren,2007,9,alonso,1:20.147
4,Ferrari,2007,9,massa,1:20.265
5,BMW Sauber,2007,9,kubica,1:20.401
6,Toyota,2007,9,ralf_schumacher,1:20.516
7,Renault,2007,9,kovalainen,1:20.721
8,Renault,2007,9,fisichella,1:20.775
9,BMW Sauber,2007,9,heidfeld,1:20.894
10,Toyota,2007,9,trulli,1:21.240
11,Red Bull,2007,9,webber,1:20.235
12,Red Bull,2007,9,coulthard,1:20.329
13,Williams,2007,9,wurz,1:20.350
14,Honda,2007,9,barrichello,1:20.364
15,Toro Rosso,2007,9,speed,1:20.515
16,Toro Rosso,2007,9,liuzzi,1:20.823
17,Williams,2007,9,rosberg,1:21.219
18,Honda,2007,9,button,1:21.335
19,Super Aguri,2007,9,davidson,1:21.448
20,Spyker,2007,9,sutil,1:22.019
21,Super Aguri,2007,9,sato,1:22.045
22,Spyker,2007,9,albers,1:22.586
1,Ferrari,2007,10,raikkonen,1:31.450
2,McLaren,2007,10,alonso,1:31.741
3,Ferrari,2007,10,massa,1:31.778
4,BMW Sauber,2007,10,heidfeld,1:31.840
5,BMW Sauber,2007,10,kubica,1:32.123
6,Red Bull,2007,10,webber,1:32.476
7,Renault,2007,10,kovalainen,1:32.478
8,Toyota,2007,10,trulli,1:32.501
9,Toyota,2007,10,ralf_schumacher,1:32.570
10,McLaren,2007,10,hamilton,1:33.833
11,Williams,2007,10,rosberg,1:31.978
12,Williams,2007,10,wurz,1:31.996
13,Renault,2007,10,fisichella,1:32.010
14,Honda,2007,10,barrichello,1:32.221
15,Super Aguri,2007,10,davidson,1:32.451
16,Super Aguri,2007,10,sato,1:32.838
17,Honda,2007,10,button,1:32.983
18,Toro Rosso,2007,10,speed,1:33.038
19,Toro Rosso,2007,10,liuzzi,1:33.148
20,Red Bull,2007,10,coulthard,1:33.151
21,Spyker,2007,10,sutil,1:34.500
22,Spyker,2007,10,markus_winkelhock,1:35.940
1,McLaren,2007,11,alonso,1:19.674
2,McLaren,2007,11,hamilton,1:19.781
3,BMW Sauber,2007,11,heidfeld,1:20.259
4,Ferrari,2007,11,raikkonen,1:20.410
5,Williams,2007,11,rosberg,1:20.632
6,Toyota,2007,11,ralf_schumacher,1:20.714
7,BMW Sauber,2007,11,kubica,1:20.876
8,Renault,2007,11,fisichella,1:21.079
9,Toyota,2007,11,trulli,1:21.206
10,Red Bull,2007,11,webber,1:21.256
11,Red Bull,2007,11,coulthard,1:20.718
12,Renault,2007,11,kovalainen,1:20.779
13,Williams,2007,11,wurz,1:20.865
14,Ferrari,2007,11,massa,1:21.021
15,Super Aguri,2007,11,davidson,1:21.127
16,Toro Rosso,2007,11,liuzzi,1:21.993
17,Honda,2007,11,button,1:21.737
18,Honda,2007,11,barrichello,1:21.877
19,Super Aguri,2007,11,sato,1:22.143
20,Toro Rosso,2007,11,vettel,1:22.177
21,Spyker,2007,11,sutil,1:22.737
22,Spyker,2007,11,yamamoto,1:23.774
